Month,Category_Name,Product_Name,Order_Demand
2012-01-01,Automotive,Automotive_Item_001,180
2012-02-01,Automotive,Automotive_Item_001,3350
2012-03-01,Automotive,Automotive_Item_001,230
2012-04-01,Automotive,Automotive_Item_001,1700
2012-05-01,Automotive,Automotive_Item_001,970
2012-06-01,Automotive,Automotive_Item_001,140
2012-07-01,Automotive,Automotive_Item_001,190
2012-08-01,Automotive,Automotive_Item_001,950
2012-09-01,Automotive,Automotive_Item_001,1180
2012-10-01,Automotive,Automotive_Item_001,0
2012-11-01,Automotive,Automotive_Item_001,570
2012-12-01,Automotive,Automotive_Item_001,230
2013-01-01,Automotive,Automotive_Item_001,250
2013-02-01,Automotive,Automotive_Item_001,60
2013-03-01,Automotive,Automotive_Item_001,320
2013-04-01,Automotive,Automotive_Item_001,250
2013-05-01,Automotive,Automotive_Item_001,90
2013-06-01,Automotive,Automotive_Item_001,950
2013-07-01,Automotive,Automotive_Item_001,1080
2013-08-01,Automotive,Automotive_Item_001,770
2013-09-01,Automotive,Automotive_Item_001,310
2013-10-01,Automotive,Automotive_Item_001,210
2013-11-01,Automotive,Automotive_Item_001,840
2013-12-01,Automotive,Automotive_Item_001,550
2014-01-01,Automotive,Automotive_Item_001,790
2014-02-01,Automotive,Automotive_Item_001,590
2014-03-01,Automotive,Automotive_Item_001,150
2014-04-01,Automotive,Automotive_Item_001,140
2014-05-01,Automotive,Automotive_Item_001,250
2014-06-01,Automotive,Automotive_Item_001,210
2014-07-01,Automotive,Automotive_Item_001,830
2014-08-01,Automotive,Automotive_Item_001,310
2014-09-01,Automotive,Automotive_Item_001,10
2014-10-01,Automotive,Automotive_Item_001,1210
2014-11-01,Automotive,Automotive_Item_001,1650
2014-12-01,Automotive,Automotive_Item_001,370
2015-01-01,Automotive,Automotive_Item_001,1520
2015-02-01,Automotive,Automotive_Item_001,610
2015-03-01,Automotive,Automotive_Item_001,2400
2015-04-01,Automotive,Automotive_Item_001,2750
2015-05-01,Automotive,Automotive_Item_001,2630
2015-06-01,Automotive,Automotive_Item_001,650
2015-07-01,Automotive,Automotive_Item_001,1270
2015-08-01,Automotive,Automotive_Item_001,510
2015-09-01,Automotive,Automotive_Item_001,30
2015-10-01,Automotive,Automotive_Item_001,5860
2015-11-01,Automotive,Automotive_Item_001,720
2015-12-01,Automotive,Automotive_Item_001,450
2016-01-01,Automotive,Automotive_Item_001,500
