Category_Name,Product_Name,Level_Used,Model,Zero_Months,HW_RMSE_%
Automotive,Automotive_Item_001,Product,Holt-Winters (Log),1,17.88
Automotive,Automotive_Item_002,Product,Holt-Winters (Log),7,49.98
Automotive,Automotive_Item_003,Product,Holt-Winters (Log),0,10.36
Automotive,Automotive_Item_004,Product,Holt-Winters (Log),0,6.44
Automotive,Automotive_Item_005,Product,Holt-Winters (Log),1,29.92
Automotive,Automotive_Item_006,Product,Holt-Winters (Log),0,12.15
Automotive,Automotive_Item_007,Product,Holt-Winters (Log),0,9.14
Automotive,Automotive_Item_008,Product,Holt-Winters (Log),13,27.77
Automotive,Automotive_Item_009,Product,Holt-Winters (Log),8,47.24
Automotive,Automotive_Item_010,Category,SARIMA,11,67.78
Automotive,Automotive_Item_011,Category,SARIMA,10,77.96
Automotive,Automotive_Item_012,Product,Holt-Winters (Log),3,29.01
Automotive,Automotive_Item_013,Category,SARIMA,26,89.57
Automotive,Automotive_Item_014,Category,SARIMA,12,82.07
Automotive,Automotive_Item_015,Category,SARIMA,12,66.33
Automotive,Automotive_Item_016,Product,Holt-Winters (Log),10,42.57
Automotive,Automotive_Item_017,Product,Holt-Winters (Log),2,36.89
Automotive,Automotive_Item_018,Category,SARIMA,23,115.32
Automotive,Automotive_Item_019,Product,Holt-Winters (Log),1,48.77
Automotive,Automotive_Item_020,Product,Holt-Winters (Log),0,27.43
Automotive,Automotive_Item_021,Product,Holt-Winters (Log),0,26.44
Automotive,Automotive_Item_022,Category,SARIMA,11,50.01
Automotive,Automotive_Item_023,Category,SARIMA,15,86.43
Automotive,Automotive_Item_024,Category,SARIMA,10,79.65
Automotive,Automotive_Item_025,Category,SARIMA,33,136.41
Automotive,Automotive_Item_026,Category,SARIMA,19,52.72
Automotive,Automotive_Item_027,Category,SARIMA,14,66.57
Automotive,Automotive_Item_028,Category,SARIMA,26,122.46
Automotive,Automotive_Item_029,Category,SARIMA,10,102.37
Automotive,Automotive_Item_030,Product,Holt-Winters (Log),0,22.2
Automotive,Automotive_Item_031,Product,Holt-Winters (Log),6,23.78
Automotive,Automotive_Item_032,Category,SARIMA,15,62.73
Automotive,Automotive_Item_033,Category,SARIMA,5,54.11
Automotive,Automotive_Item_034,Product,Holt-Winters (Log),2,38.39
Automotive,Automotive_Item_035,Product,Holt-Winters (Log),0,11.65
Automotive,Automotive_Item_036,Product,Holt-Winters (Log),4,21.28
Automotive,Automotive_Item_037,Category,SARIMA,9,69.42
Automotive,Automotive_Item_038,Category,SARIMA,9,55.87
Automotive,Automotive_Item_039,Category,SARIMA,18,69.26
Automotive,Automotive_Item_040,Product,Holt-Winters (Log),0,7.93
Automotive,Automotive_Item_041,Category,SARIMA,22,126.08
Automotive,Automotive_Item_042,Product,Holt-Winters (Log),0,16.34
Automotive,Automotive_Item_043,Product,Holt-Winters (Log),0,9.45
Automotive,Automotive_Item_044,Product,Holt-Winters (Log),1,16.48
Automotive,Automotive_Item_045,Product,Holt-Winters (Log),2,18.01
Automotive,Automotive_Item_046,Category,SARIMA,17,141.21
Automotive,Automotive_Item_047,Product,Holt-Winters (Log),0,14.95
Automotive,Automotive_Item_048,Product,Holt-Winters (Log),1,22.49
Automotive,Automotive_Item_049,Product,Holt-Winters (Log),1,27.21
Automotive,Automotive_Item_050,Product,Holt-Winters (Log),0,24.84
Automotive,Automotive_Item_051,Product,Holt-Winters (Log),0,10.92
Automotive,Automotive_Item_052,Product,Holt-Winters (Log),4,10.0
Automotive,Automotive_Item_053,Product,Holt-Winters (Log),0,16.33
Automotive,Automotive_Item_054,Product,Holt-Winters (Log),0,10.98
Automotive,Automotive_Item_055,Product,Holt-Winters (Log),0,8.1
Automotive,Automotive_Item_056,Product,Holt-Winters (Log),2,42.92
Automotive,Automotive_Item_057,Category,SARIMA,14,77.21
Automotive,Automotive_Item_058,Product,Holt-Winters (Log),0,10.7
Automotive,Automotive_Item_059,Product,Holt-Winters (Log),12,46.66
Automotive,Automotive_Item_060,Product,Holt-Winters (Log),6,46.73
Automotive,Automotive_Item_062,Product,Holt-Winters (Log),1,32.75
Automotive,Automotive_Item_063,Category,SARIMA,22,98.17
Automotive,Automotive_Item_064,Category,SARIMA,16,72.65
Automotive,Automotive_Item_065,Product,Holt-Winters (Log),0,34.2
Automotive,Automotive_Item_066,Product,Holt-Winters (Log),0,18.19
Automotive,Automotive_Item_067,Product,Holt-Winters (Log),8,48.44
Automotive,Automotive_Item_068,Product,Holt-Winters (Log),0,20.65
Automotive,Automotive_Item_069,Product,Holt-Winters (Log),0,39.1
Automotive,Automotive_Item_070,Product,Holt-Winters (Log),0,21.72
Automotive,Automotive_Item_071,Product,Holt-Winters (Log),0,15.72
Automotive,Automotive_Item_072,Product,Holt-Winters (Log),6,36.68
Automotive,Automotive_Item_073,Category,SARIMA,7,77.98
Automotive,Automotive_Item_074,Product,Holt-Winters (Log),1,36.01
Automotive,Automotive_Item_075,Product,Holt-Winters (Log),0,25.57
Automotive,Automotive_Item_076,Category,SARIMA,16,114.15
Automotive,Automotive_Item_077,Product,Holt-Winters (Log),0,25.19
Automotive,Automotive_Item_078,Product,Holt-Winters (Log),0,17.79
Automotive,Automotive_Item_079,Product,Holt-Winters (Log),1,37.77
Automotive,Automotive_Item_080,Product,Holt-Winters (Log),4,28.56
Automotive,Automotive_Item_081,Product,Holt-Winters (Log),0,10.86
Automotive,Automotive_Item_082,Product,Holt-Winters (Log),0,4.99
Automotive,Automotive_Item_083,Product,Holt-Winters (Log),11,27.39
Automotive,Automotive_Item_084,Category,SARIMA,5,57.96
Automotive,Automotive_Item_085,Category,SARIMA,3,76.71
Automotive,Automotive_Item_086,Product,Holt-Winters (Log),0,11.77
