Level,Category_Name,Forecast_Month,Forecast_Demand,Model_Used
Category,Automotive,2017-02-01,1.0,Naive
Category,Automotive,2017-03-01,1.0,Naive
Category,Automotive,2017-04-01,1.0,Naive
Category,Automotive,2017-05-01,1.0,Naive
Category,Automotive,2017-06-01,1.0,Naive
Category,Automotive,2017-07-01,1.0,Naive
Category,Automotive,2017-08-01,1.0,Naive
Category,Automotive,2017-09-01,1.0,Naive
Category,Automotive,2017-10-01,1.0,Naive
Category,Automotive,2017-11-01,1.0,Naive
Category,Automotive,2017-12-01,1.0,Naive
Category,Automotive,2018-01-01,1.0,Naive
Category,Beauty,2017-02-01,30.0,Naive
Category,Beauty,2017-03-01,30.0,Naive
Category,Beauty,2017-04-01,30.0,Naive
Category,Beauty,2017-05-01,30.0,Naive
Category,Beauty,2017-06-01,30.0,Naive
Category,Beauty,2017-07-01,30.0,Naive
Category,Beauty,2017-08-01,30.0,Naive
Category,Beauty,2017-09-01,30.0,Naive
Category,Beauty,2017-10-01,30.0,Naive
Category,Beauty,2017-11-01,30.0,Naive
Category,Beauty,2017-12-01,30.0,Naive
Category,Beauty,2018-01-01,30.0,Naive
Category,Beverages,2016-01-01,20.0,Holt-Winters
Category,Beverages,2016-02-01,2.0,Holt-Winters
Category,Beverages,2016-03-01,31.0,Holt-Winters
Category,Beverages,2016-04-01,4.0,Holt-Winters
Category,Beverages,2016-05-01,16.0,Holt-Winters
Category,Beverages,2016-06-01,24.0,Holt-Winters
Category,Beverages,2016-07-01,9.0,Holt-Winters
Category,Beverages,2016-08-01,15.0,Holt-Winters
Category,Beverages,2016-09-01,17.0,Holt-Winters
Category,Beverages,2016-10-01,34.0,Holt-Winters
Category,Beverages,2016-11-01,12.0,Holt-Winters
Category,Beverages,2016-12-01,26.0,Holt-Winters
Category,Books,2017-01-01,1178.0,SARIMA
Category,Books,2017-02-01,0.0,SARIMA
Category,Books,2017-03-01,0.0,SARIMA
Category,Books,2017-04-01,1649.0,SARIMA
Category,Books,2017-05-01,0.0,SARIMA
Category,Books,2017-06-01,0.0,SARIMA
Category,Books,2017-07-01,869.0,SARIMA
Category,Books,2017-08-01,1300.0,SARIMA
Category,Books,2017-09-01,3343.0,SARIMA
Category,Books,2017-10-01,139.0,SARIMA
