Category_Name,Month,Actual_Demand,Predicted_Demand,Model_Used,RMSE,RMSE_%
Automotive,2016-08-01,51396,43582.0,Naive,21635.95,29.75
Automotive,2016-09-01,36617,43582.0,Naive,21635.95,29.75
Automotive,2016-10-01,57580,43582.0,Naive,21635.95,29.75
Automotive,2016-11-01,60382,43582.0,Naive,21635.95,29.75
Automotive,2016-12-01,61516,43582.0,Naive,21635.95,29.75
Automotive,2017-01-01,1,43582.0,Naive,21635.95,29.75
Beauty,2016-08-01,10210,12963.0,Naive,6375.61,46.43
Beauty,2016-09-01,11528,12963.0,Naive,6375.61,46.43
Beauty,2016-10-01,8261,12963.0,Naive,6375.61,46.43
Beauty,2016-11-01,13669,12963.0,Naive,6375.61,46.43
Beauty,2016-12-01,6301,12963.0,Naive,6375.61,46.43
Beauty,2017-01-01,30,12963.0,Naive,6375.61,46.43
Beverages,2015-07-01,6,11.0,Holt-Winters,16.45,91.04
Beverages,2015-08-01,2,22.0,Holt-Winters,16.45,91.04
Beverages,2015-09-01,15,18.0,Holt-Winters,16.45,91.04
Beverages,2015-10-01,43,30.0,Holt-Winters,16.45,91.04
Beverages,2015-11-01,6,15.0,Holt-Winters,16.45,91.04
Beverages,2015-12-01,46,15.0,Holt-Winters,16.45,91.04
Books,2016-07-01,72,312.0,SARIMA,564.82,68.51
Books,2016-08-01,695,0.0,SARIMA,564.82,68.51
Books,2016-09-01,37,735.0,SARIMA,564.82,68.51
Books,2016-10-01,721,1119.0,SARIMA,564.82,68.51
Books,2016-11-01,199,350.0,SARIMA,564.82,68.51
Books,2016-12-01,937,97.0,SARIMA,564.82,68.51
Cleaning_Supplies,2016-07-01,13911,16283.0,Naive,4359.97,24.92
Cleaning_Supplies,2016-08-01,12318,16283.0,Naive,4359.97,24.92
Cleaning_Supplies,2016-09-01,10777,16283.0,Naive,4359.97,24.92
Cleaning_Supplies,2016-10-01,10404,16283.0,Naive,4359.97,24.92
Cleaning_Supplies,2016-11-01,20377,16283.0,Naive,4359.97,24.92
Cleaning_Supplies,2016-12-01,12956,16283.0,Naive,4359.97,24.92
Clothing,2016-07-01,35631,32061.0,Naive,8581.8,13.77
Clothing,2016-08-01,37419,32061.0,Naive,8581.8,13.77
Clothing,2016-09-01,31499,32061.0,Naive,8581.8,13.77
Clothing,2016-10-01,33743,32061.0,Naive,8581.8,13.77
Clothing,2016-11-01,50646,32061.0,Naive,8581.8,13.77
Clothing,2016-12-01,24858,32061.0,Naive,8581.8,13.77
Computers,2016-08-01,3096415,2523750.0,Naive,1220634.41,37.48
Computers,2016-09-01,2870075,2523750.0,Naive,1220634.41,37.48
Computers,2016-10-01,3030775,2523750.0,Naive,1220634.41,37.48
Computers,2016-11-01,3590610,2523750.0,Naive,1220634.41,37.48
Computers,2016-12-01,3407275,2523750.0,Naive,1220634.41,37.48
Computers,2017-01-01,10600,2523750.0,Naive,1220634.41,37.48
Dairy,2016-08-01,3500,4404.0,SARIMA,1201.73,25.93
Dairy,2016-09-01,4034,3851.0,SARIMA,1201.73,25.93
Dairy,2016-10-01,4928,4691.0,SARIMA,1201.73,25.93
Dairy,2016-11-01,3487,4086.0,SARIMA,1201.73,25.93
Dairy,2016-12-01,3953,4461.0,SARIMA,1201.73,25.93
Dairy,2017-01-01,15,2687.0,SARIMA,1201.73,25.93
Electricals,2016-07-01,64279,38263.0,Naive,17468.67,34.13
Electricals,2016-08-01,41864,38263.0,Naive,17468.67,34.13
Electricals,2016-09-01,29762,38263.0,Naive,17468.67,34.13
Electricals,2016-10-01,43278,38263.0,Naive,17468.67,34.13
Electricals,2016-11-01,45825,38263.0,Naive,17468.67,34.13
Electricals,2016-12-01,69672,38263.0,Naive,17468.67,34.13
Electronics,2016-07-01,3119,2624.0,Naive,1323.29,23.37
Electronics,2016-08-01,3590,2624.0,Naive,1323.29,23.37
Electronics,2016-09-01,1520,2624.0,Naive,1323.29,23.37
Electronics,2016-10-01,3596,2624.0,Naive,1323.29,23.37
Electronics,2016-11-01,4751,2624.0,Naive,1323.29,23.37
Electronics,2016-12-01,999,2624.0,Naive,1323.29,23.37
Fitness,2016-08-01,0,11662.0,SARIMA,30216.95,76.3
Fitness,2016-09-01,25340,6256.0,SARIMA,30216.95,76.3
Fitness,2016-10-01,23467,0.0,SARIMA,30216.95,76.3
Fitness,2016-11-01,100478,34824.0,SARIMA,30216.95,76.3
Fitness,2016-12-01,200,11014.0,SARIMA,30216.95,76.3
Fitness,2017-01-01,200,0.0,SARIMA,30216.95,76.3
Food,2016-08-01,26088,31320.0,Naive,13904.52,52.18
Food,2016-09-01,33170,31320.0,Naive,13904.52,52.18
Food,2016-10-01,29868,31320.0,Naive,13904.52,52.18
Food,2016-11-01,34654,31320.0,Naive,13904.52,52.18
Food,2016-12-01,43019,31320.0,Naive,13904.52,52.18
Food,2017-01-01,29,31320.0,Naive,13904.52,52.18
Footwear,2016-07-01,123,131.0,SARIMA,380.43,144.87
Footwear,2016-08-01,316,426.0,SARIMA,380.43,144.87
Footwear,2016-09-01,180,139.0,SARIMA,380.43,144.87
Footwear,2016-10-01,257,303.0,SARIMA,380.43,144.87
Footwear,2016-11-01,1082,160.0,SARIMA,380.43,144.87
Footwear,2016-12-01,118,79.0,SARIMA,380.43,144.87
Furniture,2016-08-01,1717351,1891126.0,Naive,833714.35,39.76
Furniture,2016-09-01,2134141,1891126.0,Naive,833714.35,39.76
Furniture,2016-10-01,1746480,1891126.0,Naive,833714.35,39.76
Furniture,2016-11-01,1205539,1891126.0,Naive,833714.35,39.76
Furniture,2016-12-01,1738621,1891126.0,Naive,833714.35,39.76
Furniture,2017-01-01,2472,1891126.0,Naive,833714.35,39.76
Gardening,2016-07-01,593600,505650.0,Naive,157872.67,24.07
Gardening,2016-08-01,766150,505650.0,Naive,157872.67,24.07
Gardening,2016-09-01,540600,505650.0,Naive,157872.67,24.07
Gardening,2016-10-01,624350,505650.0,Naive,157872.67,24.07
Gardening,2016-11-01,677000,505650.0,Naive,157872.67,24.07
Gardening,2016-12-01,676750,505650.0,Naive,157872.67,24.07
General_Merchandise,2016-07-01,990000,780000.0,Naive,112842.07,16.26
General_Merchandise,2016-08-01,690000,780000.0,Naive,112842.07,16.26
General_Merchandise,2016-09-01,770000,780000.0,Naive,112842.07,16.26
General_Merchandise,2016-10-01,810000,780000.0,Naive,112842.07,16.26
General_Merchandise,2016-11-01,920000,780000.0,Naive,112842.07,16.26
General_Merchandise,2016-12-01,840000,780000.0,Naive,112842.07,16.26
Hardware,2016-07-01,6663,4133.0,Naive,1541.05,15.03
Hardware,2016-08-01,4917,4133.0,Naive,1541.05,15.03
Hardware,2016-09-01,5781,4133.0,Naive,1541.05,15.03
Hardware,2016-10-01,2208,4133.0,Naive,1541.05,15.03
Hardware,2016-11-01,5034,4133.0,Naive,1541.05,15.03
Hardware,2016-12-01,4143,4133.0,Naive,1541.05,15.03
Healthcare,2016-08-01,1020,682.0,Naive,436.77,55.51
Healthcare,2016-09-01,1173,682.0,Naive,436.77,55.51
Healthcare,2016-10-01,342,682.0,Naive,436.77,55.51
Healthcare,2016-11-01,1161,682.0,Naive,436.77,55.51
Healthcare,2016-12-01,946,682.0,Naive,436.77,55.51
Healthcare,2017-01-01,70,682.0,Naive,436.77,55.51
Home_Appliances,2016-08-01,6247912,6430832.0,SARIMA,2379640.0,43.17
Home_Appliances,2016-09-01,6699809,6607881.0,SARIMA,2379640.0,43.17
Home_Appliances,2016-10-01,6205704,6228403.0,SARIMA,2379640.0,43.17
Home_Appliances,2016-11-01,8256663,6563023.0,SARIMA,2379640.0,43.17
Home_Appliances,2016-12-01,6723807,6525098.0,SARIMA,2379640.0,43.17
Home_Appliances,2017-01-01,70000,5640080.0,SARIMA,2379640.0,43.17
Kitchenware,2016-07-01,488,288.0,Naive,157.97,53.79
Kitchenware,2016-08-01,463,288.0,Naive,157.97,53.79
Kitchenware,2016-09-01,60,288.0,Naive,157.97,53.79
