category,rmse,mae,last_avg_demand,future_avg_demand,trend
housewares,929.28,661.5,12.33,3955.78,INCREASING
perfumery,146.43,136.92,12.17,302.53,INCREASING
bed_bath_table,70.62,57.57,42.33,243.73,INCREASING
computers_accessories,61.62,45.37,17.0,133.4,INCREASING
health_beauty,3.5,3.47,20.67,93.56,INCREASING
sports_leisure,29.51,21.61,20.67,76.06,INCREASING
garden_tools,22.8,19.01,21.5,58.46,INCREASING
fashion_bags_accessories,8.42,6.0,8.17,40.39,INCREASING
electronics,15.33,14.61,6.33,22.99,INCREASING
watches_gifts,17.23,15.87,16.67,16.33,DECREASING
toys,7.48,5.32,14.0,15.29,INCREASING
stationery,8.61,8.61,5.2,13.83,INCREASING
books,0.0,0.0,1.8,10.6,INCREASING
home_appliances,3.29,3.29,1.6,9.88,INCREASING
consoles_games,2.65,2.62,6.0,9.6,INCREASING
pet_shop,2.86,2.62,3.0,9.0,INCREASING
musical_instruments,3.86,3.86,1.8,8.1,INCREASING
home_comfort,3.17,3.17,2.0,7.0,INCREASING
small_appliances,2.87,2.87,1.2,5.79,INCREASING
food,1.12,1.0,1.17,3.58,INCREASING
kitchen_dining_laundry_garden_furniture,2.0,2.0,1.2,2.8,INCREASING
tablets_printing_image,4.11,4.11,0.6,2.65,INCREASING
drinks,1.33,1.33,1.0,2.33,INCREASING
agro_industry_and_commerce,0.46,0.46,1.4,2.24,INCREASING
la_cuisine,0.0,0.0,0.25,1.75,INCREASING
audio,2.86,2.3,1.17,1.63,INCREASING
office_furniture,3.0,2.4,1.0,1.4,INCREASING
cine_photo,0.0,0.0,0.2,1.4,INCREASING
cds_dvds_musicals,1.0,1.0,0.2,1.4,INCREASING
furniture_living_room,0.24,0.24,1.8,1.36,DECREASING
furniture_bedroom,0.5,0.5,0.2,0.7,INCREASING
construction_tools_construction,1.42,1.42,0.6,0.47,DECREASING
market_place,2.38,1.92,1.33,0.4,DECREASING
construction_tools_garden,1.58,1.58,0.2,0.38,INCREASING
construction_tools_safety,0.11,0.11,0.2,0.13,DECREASING
party_supplies,0.0,0.0,0.0,0.0,INCREASING
fashion_childrens_clothes,0.0,0.0,0.0,0.0,INCREASING
security_and_services,0.0,0.0,0.0,-0.0,DECREASING
arts_and_craftmanship,0.0,0.0,0.0,0.0,INCREASING
music,0.0,0.0,0.0,-0.0,DECREASING
art,1.0,1.0,0.25,0.0,DECREASING
computers,0.0,0.0,0.0,0.0,INCREASING
diapers_and_hygiene,0.0,0.0,0.0,-0.0,DECREASING
industry_commerce_and_business,0.71,0.5,0.17,-0.0,DECREASING
home_construction,4.5,4.5,1.8,0.0,DECREASING
air_conditioning,0.0,0.0,0.0,-0.0,DECREASING
fashion_female_clothing,0.0,0.0,0.0,-0.0,DECREASING
fashion_male_clothing,0.0,0.0,0.0,-0.0,DECREASING
fashion_shoes,0.0,0.0,0.33,-0.0,DECREASING
fashion_sport,0.0,0.0,0.0,0.0,INCREASING
construction_tools_lights,3.0,3.0,0.75,-0.0,DECREASING
fashion_underwear_beach,1.0,1.0,0.2,0.0,DECREASING
furniture_mattress_and_upholstery,0.0,0.0,0.0,0.0,INCREASING
construction_tools_tools,0.0,0.0,0.0,0.0,INCREASING
flowers,0.0,0.0,0.0,0.0,INCREASING
luggage_accessories,6.33,6.33,1.8,-0.1,DECREASING
christmas_supplies,5.22,5.22,1.75,-0.29,DECREASING
cool_stuff,21.91,19.62,7.5,-3.94,DECREASING
baby,23.52,18.59,5.83,-9.87,DECREASING
telephony,15.81,15.24,18.67,-10.84,DECREASING
furniture_decor,36.5,30.21,28.17,-164.85,DECREASING
auto,52.9,52.82,10.5,-434.29,DECREASING
