Level,Category_Name,Product_Name,Forecast_Month,Forecast_Demand
Category,Automotive,ALL,2017-02-01,127598.0
Category,Automotive,ALL,2017-03-01,106333.0
Category,Automotive,ALL,2017-04-01,104047.0
Category,Automotive,ALL,2017-05-01,78411.0
Category,Automotive,ALL,2017-06-01,96493.0
Category,Automotive,ALL,2017-07-01,74484.0
Category,Automotive,ALL,2017-08-01,78064.0
Category,Automotive,ALL,2017-09-01,106456.0
Category,Automotive,ALL,2017-10-01,99195.0
Category,Automotive,ALL,2017-11-01,109894.0
Category,Automotive,ALL,2017-12-01,78800.0
Category,Automotive,ALL,2018-01-01,24019.0
Category,Beauty,ALL,2017-02-01,2439.0
Category,Beauty,ALL,2017-03-01,4904.0
Category,Beauty,ALL,2017-04-01,7723.0
Category,Beauty,ALL,2017-05-01,4271.0
Category,Beauty,ALL,2017-06-01,5720.0
Category,Beauty,ALL,2017-07-01,5224.0
Category,Beauty,ALL,2017-08-01,4932.0
Category,Beauty,ALL,2017-09-01,4319.0
Category,Beauty,ALL,2017-10-01,4551.0
Category,Beauty,ALL,2017-11-01,4411.0
Category,Beauty,ALL,2017-12-01,4517.0
Category,Beauty,ALL,2018-01-01,1702.0
Category,Beverages,ALL,2016-01-01,10.0
Category,Beverages,ALL,2016-02-01,11.0
Category,Beverages,ALL,2016-03-01,0.0
Category,Beverages,ALL,2016-04-01,12.0
Category,Beverages,ALL,2016-05-01,53.0
Category,Beverages,ALL,2016-06-01,24.0
Category,Beverages,ALL,2016-07-01,6.0
Category,Beverages,ALL,2016-08-01,0.0
Category,Beverages,ALL,2016-09-01,14.0
Category,Beverages,ALL,2016-10-01,47.0
Category,Beverages,ALL,2016-11-01,5.0
Category,Beverages,ALL,2016-12-01,54.0
Category,Books,ALL,2017-01-01,1178.0
Category,Books,ALL,2017-02-01,0.0
Category,Books,ALL,2017-03-01,0.0
Category,Books,ALL,2017-04-01,1649.0
Category,Books,ALL,2017-05-01,0.0
Category,Books,ALL,2017-06-01,0.0
Category,Books,ALL,2017-07-01,869.0
Category,Books,ALL,2017-08-01,1300.0
Category,Books,ALL,2017-09-01,3343.0
Category,Books,ALL,2017-10-01,139.0
Category,Books,ALL,2017-11-01,584.0
Category,Books,ALL,2017-12-01,347.0
Category,Cleaning_Supplies,ALL,2017-01-01,15285.0
Category,Cleaning_Supplies,ALL,2017-02-01,13466.0
Category,Cleaning_Supplies,ALL,2017-03-01,20503.0
Category,Cleaning_Supplies,ALL,2017-04-01,32195.0
Category,Cleaning_Supplies,ALL,2017-05-01,13636.0
Category,Cleaning_Supplies,ALL,2017-06-01,14982.0
Category,Cleaning_Supplies,ALL,2017-07-01,14227.0
Category,Cleaning_Supplies,ALL,2017-08-01,14199.0
Category,Cleaning_Supplies,ALL,2017-09-01,21401.0
Category,Cleaning_Supplies,ALL,2017-10-01,41333.0
Category,Cleaning_Supplies,ALL,2017-11-01,13484.0
Category,Cleaning_Supplies,ALL,2017-12-01,14811.0
Category,Clothing,ALL,2017-01-01,0.0
Category,Clothing,ALL,2017-02-01,0.0
Category,Clothing,ALL,2017-03-01,11759.0
Category,Clothing,ALL,2017-04-01,9728.0
Category,Clothing,ALL,2017-05-01,0.0
Category,Clothing,ALL,2017-06-01,3105.0
Category,Clothing,ALL,2017-07-01,765.0
Category,Clothing,ALL,2017-08-01,3114.0
Category,Clothing,ALL,2017-09-01,0.0
Category,Clothing,ALL,2017-10-01,1778.0
Category,Clothing,ALL,2017-11-01,16833.0
Category,Clothing,ALL,2017-12-01,0.0
Category,Computers,ALL,2017-02-01,1520976.0
Category,Computers,ALL,2017-03-01,1300556.0
Category,Computers,ALL,2017-04-01,1577641.0
Category,Computers,ALL,2017-05-01,1273973.0
Category,Computers,ALL,2017-06-01,1208917.0
Category,Computers,ALL,2017-07-01,1103033.0
Category,Computers,ALL,2017-08-01,1511391.0
Category,Computers,ALL,2017-09-01,1135373.0
Category,Computers,ALL,2017-10-01,912366.0
Category,Computers,ALL,2017-11-01,1212656.0
Category,Computers,ALL,2017-12-01,2483828.0
Category,Computers,ALL,2018-01-01,0.0
Category,Dairy,ALL,2017-02-01,3529.0
Category,Dairy,ALL,2017-03-01,4563.0
Category,Dairy,ALL,2017-04-01,4360.0
Category,Dairy,ALL,2017-05-01,3638.0
Category,Dairy,ALL,2017-06-01,3499.0
Category,Dairy,ALL,2017-07-01,3447.0
Category,Dairy,ALL,2017-08-01,4102.0
Category,Dairy,ALL,2017-09-01,3585.0
Category,Dairy,ALL,2017-10-01,3958.0
Category,Dairy,ALL,2017-11-01,3447.0
Category,Dairy,ALL,2017-12-01,3476.0
Category,Dairy,ALL,2018-01-01,1890.0
Category,Electricals,ALL,2017-01-01,69515.0
Category,Electricals,ALL,2017-02-01,51223.0
Category,Electricals,ALL,2017-03-01,58583.0
Category,Electricals,ALL,2017-04-01,44787.0
Category,Electricals,ALL,2017-05-01,39313.0
Category,Electricals,ALL,2017-06-01,47074.0
Category,Electricals,ALL,2017-07-01,58399.0
Category,Electricals,ALL,2017-08-01,39224.0
Category,Electricals,ALL,2017-09-01,40592.0
Category,Electricals,ALL,2017-10-01,32457.0
Category,Electricals,ALL,2017-11-01,36400.0
Category,Electricals,ALL,2017-12-01,67032.0
Category,Electronics,ALL,2017-01-01,3172.0
Category,Electronics,ALL,2017-02-01,3851.0
Category,Electronics,ALL,2017-03-01,5075.0
Category,Electronics,ALL,2017-04-01,3349.0
Category,Electronics,ALL,2017-05-01,4324.0
Category,Electronics,ALL,2017-06-01,4895.0
Category,Electronics,ALL,2017-07-01,3739.0
Category,Electronics,ALL,2017-08-01,3695.0
Category,Electronics,ALL,2017-09-01,4072.0
Category,Electronics,ALL,2017-10-01,4236.0
Category,Electronics,ALL,2017-11-01,4356.0
Category,Electronics,ALL,2017-12-01,4767.0
Category,Fitness,ALL,2017-02-01,0.0
Category,Fitness,ALL,2017-03-01,18091.0
Category,Fitness,ALL,2017-04-01,25745.0
Category,Fitness,ALL,2017-05-01,0.0
Category,Fitness,ALL,2017-06-01,24845.0
Category,Fitness,ALL,2017-07-01,0.0
Category,Fitness,ALL,2017-08-01,9523.0
Category,Fitness,ALL,2017-09-01,17884.0
Category,Fitness,ALL,2017-10-01,3193.0
Category,Fitness,ALL,2017-11-01,58862.0
Category,Fitness,ALL,2017-12-01,0.0
Category,Fitness,ALL,2018-01-01,0.0
Category,Food,ALL,2017-02-01,51158.0
Category,Food,ALL,2017-03-01,23963.0
Category,Food,ALL,2017-04-01,38564.0
Category,Food,ALL,2017-05-01,19822.0
Category,Food,ALL,2017-06-01,36105.0
Category,Food,ALL,2017-07-01,26397.0
