Category_Name,Month,Actual_Demand,HW_Predicted,HW_RMSE,HW_RMSE_%,Naive_RMSE,Naive_RMSE_%,Better_Than_Naive
Automotive,2016-08-01,51396,59220.0,30323.19,41.7,21635.95,29.75,False
Automotive,2016-09-01,36617,60759.0,30323.19,41.7,21635.95,29.75,False
Automotive,2016-10-01,57580,70823.0,30323.19,41.7,21635.95,29.75,False
Automotive,2016-11-01,60382,64136.0,30323.19,41.7,21635.95,29.75,False
Automotive,2016-12-01,61516,51542.0,30323.19,41.7,21635.95,29.75,False
Automotive,2017-01-01,1,67706.0,30323.19,41.7,21635.95,29.75,False
Beauty,2016-08-01,10210,14401.0,7227.79,52.63,6375.61,46.43,False
Beauty,2016-09-01,11528,18121.0,7227.79,52.63,6375.61,46.43,False
Beauty,2016-10-01,8261,13917.0,7227.79,52.63,6375.61,46.43,False
Beauty,2016-11-01,13669,17319.0,7227.79,52.63,6375.61,46.43,False
Beauty,2016-12-01,6301,10795.0,7227.79,52.63,6375.61,46.43,False
Beauty,2017-01-01,30,13701.0,7227.79,52.63,6375.61,46.43,False
Beverages,2015-07-01,6,11.0,16.45,91.04,18.31,101.33,True
Beverages,2015-08-01,2,22.0,16.45,91.04,18.31,101.33,True
Beverages,2015-09-01,15,18.0,16.45,91.04,18.31,101.33,True
Beverages,2015-10-01,43,30.0,16.45,91.04,18.31,101.33,True
Beverages,2015-11-01,6,15.0,16.45,91.04,18.31,101.33,True
Beverages,2015-12-01,46,15.0,16.45,91.04,18.31,101.33,True
Books,2016-07-01,72,1693.0,1226.17,148.73,943.91,114.5,False
Books,2016-08-01,695,857.0,1226.17,148.73,943.91,114.5,False
Books,2016-09-01,37,2092.0,1226.17,148.73,943.91,114.5,False
Books,2016-10-01,721,1902.0,1226.17,148.73,943.91,114.5,False
Books,2016-11-01,199,1059.0,1226.17,148.73,943.91,114.5,False
Books,2016-12-01,937,823.0,1226.17,148.73,943.91,114.5,False
Cleaning_Supplies,2016-07-01,13911,17524.0,8749.94,50.02,4359.97,24.92,False
Cleaning_Supplies,2016-08-01,12318,18262.0,8749.94,50.02,4359.97,24.92,False
Cleaning_Supplies,2016-09-01,10777,17708.0,8749.94,50.02,4359.97,24.92,False
Cleaning_Supplies,2016-10-01,10404,28676.0,8749.94,50.02,4359.97,24.92,False
Cleaning_Supplies,2016-11-01,20377,14984.0,8749.94,50.02,4359.97,24.92,False
Cleaning_Supplies,2016-12-01,12956,12917.0,8749.94,50.02,4359.97,24.92,False
Clothing,2016-07-01,35631,20256.0,21125.68,33.91,8581.8,13.77,False
Clothing,2016-08-01,37419,19984.0,21125.68,33.91,8581.8,13.77,False
Clothing,2016-09-01,31499,45864.0,21125.68,33.91,8581.8,13.77,False
Clothing,2016-10-01,33743,15873.0,21125.68,33.91,8581.8,13.77,False
Clothing,2016-11-01,50646,16679.0,21125.68,33.91,8581.8,13.77,False
Clothing,2016-12-01,24858,3460.0,21125.68,33.91,8581.8,13.77,False
Computers,2016-08-01,3096415,2495175.0,1493818.25,45.87,1220634.41,37.48,False
Computers,2016-09-01,2870075,2698581.0,1493818.25,45.87,1220634.41,37.48,False
Computers,2016-10-01,3030775,3129519.0,1493818.25,45.87,1220634.41,37.48,False
Computers,2016-11-01,3590610,2764266.0,1493818.25,45.87,1220634.41,37.48,False
Computers,2016-12-01,3407275,2768843.0,1493818.25,45.87,1220634.41,37.48,False
Computers,2017-01-01,10600,3459929.0,1493818.25,45.87,1220634.41,37.48,False
Dairy,2016-08-01,3500,5345.0,1634.22,35.26,1565.84,33.78,False
Dairy,2016-09-01,4034,3766.0,1634.22,35.26,1565.84,33.78,False
Dairy,2016-10-01,4928,3900.0,1634.22,35.26,1565.84,33.78,False
Dairy,2016-11-01,3487,3839.0,1634.22,35.26,1565.84,33.78,False
Dairy,2016-12-01,3953,3397.0,1634.22,35.26,1565.84,33.78,False
Dairy,2017-01-01,15,3341.0,1634.22,35.26,1565.84,33.78,False
Electricals,2016-07-01,64279,64695.0,23574.67,46.06,17468.67,34.13,False
Electricals,2016-08-01,41864,29433.0,23574.67,46.06,17468.67,34.13,False
Electricals,2016-09-01,29762,16511.0,23574.67,46.06,17468.67,34.13,False
Electricals,2016-10-01,43278,3802.0,23574.67,46.06,17468.67,34.13,False
Electricals,2016-11-01,45825,11734.0,23574.67,46.06,17468.67,34.13,False
