Level,Category_Name,Forecast_Month,Forecast_Demand,Model
Category,Automotive,2017-02-01,46869.0,Holt-Winters
Category,Automotive,2017-03-01,55808.0,Holt-Winters
Category,Automotive,2017-04-01,36260.0,Holt-Winters
Category,Automotive,2017-05-01,28452.0,Holt-Winters
Category,Automotive,2017-06-01,22655.0,Holt-Winters
Category,Automotive,2017-07-01,25605.0,Holt-Winters
Category,Automotive,2017-08-01,16026.0,Holt-Winters
Category,Automotive,2017-09-01,22206.0,Holt-Winters
Category,Automotive,2017-10-01,26238.0,Holt-Winters
Category,Automotive,2017-11-01,14202.0,Holt-Winters
Category,Automotive,2017-12-01,0.0,Holt-Winters
Category,Automotive,2018-01-01,3472.0,Holt-Winters
Category,Beauty,2017-02-01,11262.0,Holt-Winters
Category,Beauty,2017-03-01,15892.0,Holt-Winters
Category,Beauty,2017-04-01,14360.0,Holt-Winters
Category,Beauty,2017-05-01,10669.0,Holt-Winters
Category,Beauty,2017-06-01,11680.0,Holt-Winters
Category,Beauty,2017-07-01,12064.0,Holt-Winters
Category,Beauty,2017-08-01,12249.0,Holt-Winters
Category,Beauty,2017-09-01,16372.0,Holt-Winters
Category,Beauty,2017-10-01,11432.0,Holt-Winters
Category,Beauty,2017-11-01,15851.0,Holt-Winters
Category,Beauty,2017-12-01,10308.0,Holt-Winters
Category,Beauty,2018-01-01,10566.0,Holt-Winters
Category,Beverages,2016-01-01,20.0,Holt-Winters
Category,Beverages,2016-02-01,2.0,Holt-Winters
Category,Beverages,2016-03-01,31.0,Holt-Winters
Category,Beverages,2016-04-01,4.0,Holt-Winters
Category,Beverages,2016-05-01,16.0,Holt-Winters
Category,Beverages,2016-06-01,24.0,Holt-Winters
Category,Beverages,2016-07-01,9.0,Holt-Winters
Category,Beverages,2016-08-01,15.0,Holt-Winters
Category,Beverages,2016-09-01,17.0,Holt-Winters
Category,Beverages,2016-10-01,34.0,Holt-Winters
Category,Beverages,2016-11-01,12.0,Holt-Winters
Category,Beverages,2016-12-01,26.0,Holt-Winters
