Product_Name,Category_Name,HW_RMSE,Naive_RMSE,HW_RMSE_%,Naive_RMSE_%,Better_Than_Naive,Model_Status
Automotive_Item_001,Automotive,1246.4,2206.02,134.45,237.96,True,OK
Automotive_Item_002,Automotive,531.11,291.89,182.91,100.52,False,UNSTABLE
Automotive_Item_003,Automotive,3224.0,7422.18,73.15,168.39,True,OK
Automotive_Item_004,Automotive,4251.65,2712.55,58.13,37.08,False,UNSTABLE
Automotive_Item_005,Automotive,47.19,47.91,67.74,68.78,True,OK
Automotive_Item_006,Automotive,612.09,269.18,75.36,33.14,False,UNSTABLE
Automotive_Item_007,Automotive,148.75,262.14,35.49,62.54,True,OK
Automotive_Item_008,Automotive,96.97,81.46,89.07,74.82,False,UNSTABLE
Automotive_Item_009,Automotive,28.52,30.81,88.37,95.48,True,OK
Automotive_Item_010,Automotive,62.24,244.6,204.42,803.44,True,OK
Automotive_Item_011,Automotive,10.83,13.45,107.35,133.3,True,OK
Automotive_Item_012,Automotive,17.64,16.23,105.82,97.37,False,UNSTABLE
Automotive_Item_013,Automotive,33.37,35.91,115.14,123.92,True,OK
Automotive_Item_014,Automotive,25.83,31.75,82.03,100.82,True,OK
Automotive_Item_015,Automotive,1107.07,129.1,85.54,9.97,False,UNSTABLE
Automotive_Item_016,Automotive,1412.36,364.01,103.01,26.55,False,UNSTABLE
Automotive_Item_017,Automotive,1385.84,238.26,48.22,8.29,False,UNSTABLE
Automotive_Item_018,Automotive,7.43,9.6,137.49,177.54,True,OK
Automotive_Item_019,Automotive,240.86,234.98,259.51,253.17,False,UNSTABLE
Automotive_Item_020,Automotive,518.2,521.58,32.88,33.1,True,OK
Automotive_Item_021,Automotive,198.18,78.56,41.77,16.56,False,UNSTABLE
Automotive_Item_022,Automotive,21.37,7.04,117.52,38.69,False,UNSTABLE
Automotive_Item_023,Automotive,44.06,77.48,123.45,217.13,True,OK
Automotive_Item_024,Automotive,380.35,126.54,103.29,34.37,False,UNSTABLE
Automotive_Item_025,Automotive,15.96,24.97,148.57,232.51,True,OK
Automotive_Item_026,Automotive,5.88,8.76,62.42,92.89,True,OK
Automotive_Item_027,Automotive,8.71,22.24,40.03,102.26,True,OK
Automotive_Item_028,Automotive,726.48,133.45,160.42,29.47,False,UNSTABLE
Automotive_Item_029,Automotive,36.82,23.2,93.6,58.99,False,UNSTABLE
Automotive_Item_030,Automotive,361.1,423.36,116.49,136.57,True,OK
Automotive_Item_031,Automotive,42.4,45.13,84.61,90.07,True,OK
Automotive_Item_032,Automotive,11.58,9.64,115.99,96.62,False,UNSTABLE
Automotive_Item_033,Automotive,1738.09,1481.64,53.82,45.88,False,UNSTABLE
