Product_Name,Category_Name,HW_RMSE,Naive_RMSE,Model_Status
Automotive_Item_001,Automotive,1246.4,2206.02,OK
Automotive_Item_002,Automotive,531.11,291.89,UNSTABLE
Automotive_Item_003,Automotive,3224.0,7422.18,OK
Automotive_Item_004,Automotive,4251.65,2712.55,UNSTABLE
Automotive_Item_005,Automotive,47.19,47.91,OK
Automotive_Item_006,Automotive,612.09,269.18,UNSTABLE
Automotive_Item_007,Automotive,148.75,262.14,OK
Automotive_Item_008,Automotive,96.97,81.46,UNSTABLE
Automotive_Item_009,Automotive,28.52,30.81,OK
Automotive_Item_010,Automotive,62.24,244.6,OK
Automotive_Item_011,Automotive,10.83,13.45,OK
Automotive_Item_012,Automotive,17.64,16.23,UNSTABLE
Automotive_Item_013,Automotive,33.37,35.91,OK
Automotive_Item_014,Automotive,25.83,31.75,OK
Automotive_Item_015,Automotive,1107.07,129.1,UNSTABLE
Automotive_Item_016,Automotive,1412.36,364.01,UNSTABLE
Automotive_Item_017,Automotive,1385.84,238.26,UNSTABLE
Automotive_Item_018,Automotive,7.43,9.6,OK
Automotive_Item_019,Automotive,240.86,234.98,UNSTABLE
Automotive_Item_020,Automotive,518.2,521.58,OK
Automotive_Item_021,Automotive,198.18,78.56,UNSTABLE
Automotive_Item_022,Automotive,21.37,7.04,UNSTABLE
Automotive_Item_023,Automotive,44.06,77.48,OK
Automotive_Item_024,Automotive,380.35,126.54,UNSTABLE
Automotive_Item_025,Automotive,15.96,24.97,OK
Automotive_Item_026,Automotive,5.88,8.76,OK
Automotive_Item_027,Automotive,8.71,22.24,OK
Automotive_Item_028,Automotive,726.48,133.45,UNSTABLE
Automotive_Item_029,Automotive,36.82,23.2,UNSTABLE
Automotive_Item_030,Automotive,361.1,423.36,OK
Automotive_Item_031,Automotive,42.4,45.13,OK
Automotive_Item_032,Automotive,11.58,9.64,UNSTABLE
Automotive_Item_033,Automotive,1738.09,1481.64,UNSTABLE
Automotive_Item_034,Automotive,29.29,22.36,UNSTABLE
Automotive_Item_035,Automotive,771.45,730.3,UNSTABLE
Automotive_Item_036,Automotive,310.93,313.58,OK
Automotive_Item_037,Automotive,415.71,412.31,UNSTABLE
Automotive_Item_038,Automotive,246.11,182.57,UNSTABLE
Automotive_Item_039,Automotive,197.95,297.38,OK
Automotive_Item_040,Automotive,387.81,505.95,OK
Automotive_Item_041,Automotive,372.51,798.84,OK
Automotive_Item_042,Automotive,1494.58,2137.03,OK
Automotive_Item_043,Automotive,413.29,629.83,OK
Automotive_Item_044,Automotive,595.97,944.37,OK
Automotive_Item_045,Automotive,308.93,372.78,OK
Automotive_Item_046,Automotive,146.36,135.83,UNSTABLE
Automotive_Item_047,Automotive,165.98,104.48,UNSTABLE
Automotive_Item_048,Automotive,142.43,85.34,UNSTABLE
Automotive_Item_049,Automotive,160.14,74.61,UNSTABLE
Automotive_Item_050,Automotive,75.69,101.24,OK
Automotive_Item_051,Automotive,1039.76,1630.97,OK
Automotive_Item_052,Automotive,108.3,253.87,OK
Automotive_Item_053,Automotive,445.68,516.2,OK
Automotive_Item_054,Automotive,3271.19,3040.77,UNSTABLE
Automotive_Item_055,Automotive,3848.75,2642.84,UNSTABLE
