Product_Name,Category_Name,Month,Actual_Demand,Predicted_Demand,RMSE,RMSE_%,Model
Automotive_Item_001,Automotive,2016-07-01,1410,1285.0,512.98,32.71,Prophet_Product
Automotive_Item_001,Automotive,2016-08-01,2840,1820.0,512.98,32.71,Prophet_Product
Automotive_Item_001,Automotive,2016-09-01,1860,1980.0,512.98,32.71,Prophet_Product
Automotive_Item_001,Automotive,2016-10-01,100,225.0,512.98,32.71,Prophet_Product
Automotive_Item_001,Automotive,2016-11-01,1430,2122.0,512.98,32.71,Prophet_Product
Automotive_Item_001,Automotive,2016-12-01,1770,1890.0,512.98,32.71,Prophet_Product
Automotive_Item_002,Automotive,2016-07-01,420,819.0,406.89,145.32,Prophet_Product
Automotive_Item_002,Automotive,2016-08-01,90,109.0,406.89,145.32,Prophet_Product
Automotive_Item_002,Automotive,2016-09-01,420,847.0,406.89,145.32,Prophet_Product
Automotive_Item_002,Automotive,2016-10-01,0,572.0,406.89,145.32,Prophet_Product
Automotive_Item_002,Automotive,2016-11-01,270,808.0,406.89,145.32,Prophet_Product
Automotive_Item_002,Automotive,2016-12-01,480,292.0,406.89,145.32,Prophet_Product
Automotive_Item_003,Automotive,2016-07-01,2560,5149.0,2894.74,89.76,Prophet_Product
Automotive_Item_003,Automotive,2016-08-01,3460,5225.0,2894.74,89.76,Prophet_Product
Automotive_Item_003,Automotive,2016-09-01,3220,6724.0,2894.74,89.76,Prophet_Product
Automotive_Item_003,Automotive,2016-10-01,1230,5863.0,2894.74,89.76,Prophet_Product
Automotive_Item_003,Automotive,2016-11-01,4060,6569.0,2894.74,89.76,Prophet_Product
Automotive_Item_003,Automotive,2016-12-01,4820,4168.0,2894.74,89.76,Prophet_Product
Automotive_Item_004,Automotive,2016-07-01,4530,9625.0,4545.04,58.7,Prophet_Product
Automotive_Item_004,Automotive,2016-08-01,8290,8750.0,4545.04,58.7,Prophet_Product
Automotive_Item_004,Automotive,2016-09-01,5120,14596.0,4545.04,58.7,Prophet_Product
Automotive_Item_004,Automotive,2016-10-01,7200,9720.0,4545.04,58.7,Prophet_Product
Automotive_Item_004,Automotive,2016-11-01,12560,11296.0,4545.04,58.7,Prophet_Product
Automotive_Item_004,Automotive,2016-12-01,8760,8968.0,4545.04,58.7,Prophet_Product
Automotive_Item_005,Automotive,2016-07-01,45,197.0,82.33,173.32,Prophet_Product
Automotive_Item_005,Automotive,2016-08-01,71,141.0,82.33,173.32,Prophet_Product
Automotive_Item_005,Automotive,2016-09-01,30,0.0,82.33,173.32,Prophet_Product
Automotive_Item_005,Automotive,2016-10-01,18,0.0,82.33,173.32,Prophet_Product
Automotive_Item_005,Automotive,2016-11-01,106,0.0,82.33,173.32,Prophet_Product
Automotive_Item_005,Automotive,2016-12-01,15,0.0,82.33,173.32,Prophet_Product
Automotive_Item_006,Automotive,2016-07-01,396,1001.0,669.8,128.89,Prophet_Product
Automotive_Item_006,Automotive,2016-08-01,988,1106.0,669.8,128.89,Prophet_Product
Automotive_Item_006,Automotive,2016-09-01,710,796.0,669.8,128.89,Prophet_Product
Automotive_Item_006,Automotive,2016-10-01,388,1493.0,669.8,128.89,Prophet_Product
Automotive_Item_006,Automotive,2016-11-01,367,1191.0,669.8,128.89,Prophet_Product
Automotive_Item_006,Automotive,2016-12-01,269,906.0,669.8,128.89,Prophet_Product
Automotive_Item_007,Automotive,2016-07-01,349,577.0,182.84,40.6,Prophet_Product
Automotive_Item_007,Automotive,2016-08-01,660,615.0,182.84,40.6,Prophet_Product
